// Item names must be 21 letters or less

0000: EMPTY
0000-E: НИЧЕГО
0001: Lighter's Lumber
0001-E: Бревно Лайтера
0002: Fresh Lumber
0002-E: Свежее Бревно
0003: Stick
0003-E: Палка
0004: Better Stick
0004-E: Улучшеная Палка
0005: Easy-Grip Stick
0005-E: Легкая Палка
0006: Good Stick
0006-E: Хорошая Палка
0007: Very Good Stick
0007-E: Очень Хорошая Палка
0008: Funny Stick
0008-E: Смешная Палка
0009: Vigor Stick
0009-E: Резвая Палка
000A: Clever Stick
000A-E: Умная Палка
000B: Master Stick
000B-E: Палка Мастера
000C: Mystical Stick
000C-E: Мистическая Палка
000D: Gloves
000D-E: Перчатки
000E: Durable Gloves
000E-E: Прочные Перчатки
000F: Chic Gloves
000F-E: Модные Перчатки
0010: Strong Gloves
0010-E: Сильные Перчатки
0011: Magic Gloves
0011-E: Волшебные Перчатки
0012: Sevolg
0012-E: Иктачреп
0013: Expensive Gloves
0013-E: Дорогие Перчатки
0014: Angel Gloves
0014-E: Перчатки Ангела
0015: Mystical Gloves
0015-E: Мистические Перчатки
0016: Ordinary Shoes
0016-E: Обычная Обувь
0017: Durable Shoes
0017-E: Прочная Обувь
0018: Sharp Shoes
0018-E: Острая Обувь
0019: Ultimate Shoes
0019-E: Верховная Обувь
001A: Mystical Shoes
001A-E: Мистическая Обувь
001B: Good Shoes
001B-E: Хорошая Обувь
001C: Rubber Boots
001C-E: Резиновая Обувь
001D: Barefoot Shoes
001D-E: Голоногая Обувь
001E: Non-Slip Shoes
001E-E: Нескользящая Обувь
001F: Handy Yo-Yo
001F-E: Удобное Йо-Йо
0020: Canine Weapon
0020-E: Собачье Оружие
0021: DCMC Pamphlet
0021-E: Журнал DCMC
0022: Fake Bat
0022-E: Ложная Бита
0023: Fake Frying Pan
0023-E: Ложная Сковорода
0024: Real Bat
0024-E: Реальная Бита
0025: Mini-Mini Charm
0025-E: Мини-Мини Брелок
0026: Flea Charm
0026-E: Блошиный Блелок
0027: Mosquito Charm
0027-E: Комариный Брелок
0028: Fly Charm
0028-E: Мушиный Брелок
0029: Bantam Charm
0029-E: Бантам Брелок
002A: Feather Charm
002A-E: Перьевой Брелок
002B: Pumice Charm
002B-E: Пемзовый Брелок
002C: Heavy Charm
002C-E: Тяжелый Брелок
002D: Thud Charm
002D-E: Ударный Брелок
002E: White Collar
002E-E: Белый Ошейник
002F: Brown Collar
002F-E: Коричневый Ошейник
0030: Black Collar
0030-E: Чёрный Ошейник
0031: Striped Collar
0031-E: Полосатый Ошейник
0032: Red Collar
0032-E: Красный Ошейник
0033: DCMC Shirt
0033-E: Футболка DCMC
0034: Rubber Cape
0034-E: Резиновый Плащ
0035: Aloha Coat
0035-E: Гавайская Рубашка
0036: Warm Sweater
0036-E: Тёплый Свитер
0037: Goddess Bustier
0037-E: Бюстье Богини
0038: Awesome Cloak
0038-E: Отпадный Плащ
0039: Manly Bandana
0039-E: Мужественная Бандана
003A: Chick Bandana
003A-E: Бандана Цыплёнка
003B: Sparrow Bandana
003B-E: Бандана Воробья
003C: Rail Bandana
003C-E: Бандана-Рельса
003D: Swallow Bandana
003D-E: Бандана Ласточки
003E: Crow Bandana
003E-E: Бандана Ворона
003F: Kite Bandana
003F-E: Бандана Коршуна
0040: Horus Bandana
0040-E: Бандана Сокола
0041: Ordinary Hat
0041-E: Обычная Шляпа
0042: Cow Hat
0042-E: Шляпа Коровы
0043: Alligator Hat
0043-E: Шляпа Аллигатора
0044: Bear Hat
0044-E: Шляпа Медведя
0045: Otter Hat
0045-E: Шляпа Выдры
0046: Scarlet Ribbon
0046-E: Алая Лента
0047: Azure Ribbon
0047-E: Азурная Лента
0048: Boing Ribbon
0048-E: Боинг Лента
0049: Fairy Ribbon
0049-E: Лента Фей
004A: Angel Ribbon
004A-E: Ангельская Лента
004B: Goddess Ribbon
004B-E: Божественная Лента
004C: DCMC Hat
004C-E: Шляпа DCMC
004D: Awesome Crown
004D-E: Отпадная Корона
004E: Aries Bracelet
004E-E: Браслет Овна
004F: Aquarius Bracelet
004F-E: Браслет Водолея
0050: Pisces Bracelet
0050-E: Браслет Рыб
0051: Capricorn Bracelet
0051-E: Браслет Козерога
0052: Taurus Bracelet
0052-E: Браслет Тельца
0053: Gemini Bracelet
0053-E: Браслет Близнецов
0054: Cancer Bracelet
0054-E: Браслет Рака
0055: Leo Bracelet
0055-E: Браслет Льва
0056: Virgo Bracelet
0056-E: Браслет Девы
0057: Libra Bracelet
0057-E: Браслет Весов
0058: Scorpio Bracelet
0058-E: Браслет Скорпиона
0059: Sagittarius Bracelet
0059-E: Браслет Стрельца
005A: DCMC Ring
005A-E: Кольцо DCMC
005B: Awesome Ring
005B-E: Отпадное Кольцо
005C: Favorite Food
005C-E: Любимая Еда
005D: Nut
005D-E: Орех
005E: Nut Bread
005E-E: Ореховый Хлеб
005F: Nut Cookie
005F-E: Ореховое Печенье
0060: Fresh Milk
0060-E: Свежее Молоко
0061: Rotten Milk
0061-E: Испорченое Молоко
0062: Yogurt
0062-E: Йогурт
0063: Edible Mushroom
0063-E: Съедобный Гриб
0064: Innit Tea
0064-E: Чай Нетакли
0065: Beef Jerky
0065-E: Вяленое мясо
0066: Fresh Egg
0066-E: Яйцо
0067: Rotten Eclair
0067-E: Гнилой Эклер
0068: Rotten Bavarois
0068-E: Гнилой Баваройс
0069: Peculiar Cheese
0069-E: Интересный Сыр
006A: Bag of Pork Chips
006A-E: Свиные Чипсы
006B: Luxury Banana
006B-E: Роскошный Банан
006C: Bread Roll
006C-E: Рулет
006D: Fizzy Soda
006D-E: Газировка
006E: Big City Soda
006E-E: Городская Содовая
006F: Big City Cola
006F-E: Городская Кола
0070: Big City Burger
0070-E: Городской Бургер
0071: Bag of Big City Fries
0071-E: Городская Картошка
0072: Doggy Biscuit
